order_id,product_id,quantity,discount,Payment_Mode
500001,2979,3,0%,Debit Card
500001,3631,4,15%,Wallet
500001,1504,1,14%,NetBanking
500001,1016,4,0%,Debit Card
500001,3160,1,2%,COD
500002,2958,4,5%,Debit Card
500002,3286,1,0%,UPI
500002,2722,2,2%,Debit Card
500003,4559,4,5%,Credit Card
500003,1431,2,0%,Credit Card
500004,4816,3,5%,NetBanking
500004,1580,1,8%,Wallet
500005,2061,3,19%,Wallet
500005,3619,3,13%,Debit Card
500005,2710,3,0%,NetBanking
500005,1119,2,12%,UPI
500005,3980,3,4%,UPI
500006,3456,2,12%,NetBanking
500006,3202,4,9%,NetBanking
500006,3163,1,8%,Credit Card
500006,1689,1,10%,NetBanking
500006,4681,3,2%,UPI
500007,3207,4,5%,UPI
500007,1654,4,11%,COD
500008,1302,4,0%,COD
500008,2257,3,9%,Credit Card
500009,1562,2,0%,COD
500009,3343,4,0%,Credit Card
500009,2106,4,10%,COD
500009,4616,1,21%,Credit Card
500009,3412,2,11%,Credit Card
500010,1353,2,0%,NetBanking
500010,3670,4,21%,Wallet
500011,1595,2,15%,Wallet
500011,3239,4,0%,Wallet
500011,2596,3,13%,UPI
500011,1180,2,1%,COD
500011,1727,4,14%,Credit Card
500012,1467,4,5%,Debit Card
500012,4304,1,4%,Credit Card
500012,4190,4,10%,Wallet
500012,4512,1,14%,Debit Card
500013,1721,4,11%,COD
500014,2773,1,0%,NetBanking
500015,4948,3,7%,COD
500015,3123,2,4%,Debit Card
500015,3197,3,3%,Wallet
500015,1692,1,2%,Debit Card
500016,3880,3,12%,Credit Card
500016,1671,2,3%,NetBanking
500016,2178,2,11%,COD
500016,4254,3,18%,UPI
500016,2217,3,2%,NetBanking
500017,1924,2,18%,NetBanking
500017,1099,4,7%,Wallet
500017,3484,2,7%,Wallet
500017,3060,2,8%,Debit Card
500017,4711,3,14%,Debit Card
500018,3751,4,6%,NetBanking
500018,4148,4,17%,COD
500018,3555,3,13%,COD
500018,1736,4,5%,NetBanking
500019,2105,3,6%,NetBanking
500019,3230,3,5%,NetBanking
500020,4966,2,10%,Credit Card
500020,2383,4,0%,Debit Card
500020,4876,3,15%,COD
500020,1799,2,7%,Credit Card
500020,1379,3,6%,UPI
500021,1461,3,10%,NetBanking
500021,2913,1,10%,UPI
500022,2944,2,0%,Credit Card
500022,3476,1,12%,Credit Card
500022,4165,1,0%,Wallet
500023,4977,1,8%,Credit Card
500023,1982,3,9%,COD
500023,2147,4,0%,COD
500023,1291,2,9%,Credit Card
500023,4452,3,17%,Debit Card
500024,3853,2,14%,UPI
500024,1580,1,3%,Wallet
500025,4662,3,0%,NetBanking
500025,3102,1,6%,Wallet
500025,3612,1,18%,Credit Card
