order_id,customer_id,order_date,payment_mode,total_amount
500001,4779,9/5/2024,NetBanking,533865
500002,5645,12/10/2024,Credit Card,126748
500003,2094,12/5/2023,Cash on Delivery,155802
500004,3574,12/14/2022,UPI,160658
500005,5432,8/14/2025,UPI,226190
500006,4572,7/6/2023,Cash on Delivery,119384
500007,1709,3/20/2024,Debit Card,501852
500008,5633,6/8/2024,Debit Card,303102
500009,6195,12/4/2024,Debit Card,338828
500010,6530,6/5/2023,UPI,331600
500011,9692,7/6/2023,Credit Card,923248
500012,5526,12/17/2024,NetBanking,377362
500013,5908,11/20/2024,Wallet,96440
500014,7417,8/23/2024,NetBanking,26530
500015,5586,9/19/2024,UPI,176097
500016,7674,10/21/2023,Cash on Delivery,160098
500017,6787,4/15/2023,Wallet,669047
500018,8371,10/23/2024,Debit Card,360949
500019,5369,6/4/2025,Wallet,50876
500020,3940,5/5/2025,Credit Card,460714
500021,739,9/29/2023,NetBanking,429741
500022,1341,3/7/2025,NetBanking,23639
500023,6952,6/4/2025,Debit Card,125226
500024,7507,10/3/2024,Debit Card,151726
500025,8668,7/19/2024,UPI,153690
500026,5761,2/18/2022,Debit Card,45282
500027,4566,1/21/2025,UPI,98645
500028,9969,10/7/2023,Credit Card,251977
500029,5987,10/22/2023,UPI,208276
500030,1869,7/29/2025,NetBanking,9419
500031,1605,2/1/2025,Wallet,64757
500032,2054,8/7/2025,NetBanking,26909
500033,6466,5/7/2023,Debit Card,482156
500034,1892,8/29/2024,Cash on Delivery,275202
500035,9884,10/3/2024,UPI,93268
500036,4308,6/18/2024,Credit Card,34034
500037,1205,1/2/2025,Cash on Delivery,15000
500038,8501,5/15/2025,Credit Card,23314
500039,932,11/17/2024,NetBanking,216405
500040,8526,12/4/2023,Credit Card,123700
500041,3291,11/20/2023,UPI,68343
500042,6659,9/6/2024,Debit Card,42211
500043,8522,7/3/2024,NetBanking,160204
500044,7785,6/21/2024,NetBanking,159455
500045,1354,11/8/2024,Cash on Delivery,371620
500046,4204,1/30/2024,Credit Card,118642
500047,939,11/3/2024,NetBanking,47164
500048,1816,2/26/2024,Credit Card,129113
500049,7027,7/13/2023,Wallet,55034
500050,285,5/4/2024,UPI,55500
500051,5240,7/4/2024,Wallet,148663
500052,5094,1/9/2025,Cash on Delivery,3437
500053,3569,4/21/2024,Debit Card,273563
500054,1129,12/9/2023,Debit Card,68218
500055,9004,9/26/2024,UPI,1044132
500056,1749,1/17/2025,NetBanking,173194
500057,8661,9/23/2024,Wallet,5760
500058,434,11/3/2024,NetBanking,184452
500059,9529,3/27/2025,Wallet,474087
500060,6302,10/12/2023,Credit Card,355777
500061,9136,11/17/2024,Credit Card,385604
500062,7741,5/30/2025,Cash on Delivery,450681
500063,2115,11/28/2024,Cash on Delivery,388600
500064,5919,8/25/2024,UPI,32796
500065,2145,12/23/2023,NetBanking,88848
500066,16,5/14/2023,Wallet,128682
500067,405,1/17/2025,Cash on Delivery,53830
500068,451,5/29/2024,Credit Card,3587
500069,4307,3/13/2024,Wallet,41616
500070,5899,1/8/2025,Wallet,39890
500071,2218,9/17/2024,Debit Card,432038
500072,5731,12/8/2024,Debit Card,216690
500073,3030,2/17/2023,UPI,489341
500074,7197,5/3/2025,Cash on Delivery,123042
500075,5853,10/18/2023,UPI,115746
500076,3196,6/29/2024,NetBanking,336981
500077,4814,10/29/2023,Cash on Delivery,44647
500078,9188,7/29/2025,Cash on Delivery,26594
500079,5212,12/22/2024,Debit Card,40139
500080,8241,1/1/2023,Wallet,118623
500081,5003,7/28/2023,Wallet,60370
500082,4923,5/11/2025,NetBanking,464384
500083,9692,10/18/2023,Credit Card,3096
500084,7017,12/7/2024,Credit Card,363958
500085,4783,8/12/2024,UPI,145187
500086,9280,7/22/2023,Cash on Delivery,107076
500087,7949,4/25/2025,Cash on Delivery,25500
500088,3133,7/26/2024,NetBanking,183738
500089,9879,1/2/2024,Credit Card,344633
500090,8187,7/23/2025,UPI,314306
500091,9928,5/20/2025,NetBanking,21244
500092,2686,4/17/2024,Debit Card,65394
500093,4796,8/18/2023,Wallet,45413
500094,5670,2/18/2024,Credit Card,465920
500095,7641,6/1/2025,Debit Card,222436
500096,8492,8/3/2025,Wallet,47453
500097,5816,12/28/2023,Wallet,141239
500098,6494,11/29/2023,Cash on Delivery,101140
500099,1894,5/17/2025,Cash on Delivery,92398
500100,2639,6/9/2022,Debit Card,197040
500101,6533,5/9/2025,UPI,51815
500102,6597,9/2/2023,Credit Card,224238
500103,6798,6/9/2025,Cash on Delivery,271076
500104,8309,8/22/2024,Cash on Delivery,25500
500105,4862,6/8/2023,Wallet,26174
500106,6268,5/20/2024,Debit Card,125888
500107,4610,10/11/2024,Credit Card,3570
500108,9098,1/3/2024,Debit Card,30888
500109,5025,7/24/2025,UPI,327948
500110,3769,11/23/2023,UPI,141465
500111,7009,9/9/2024,NetBanking,382848
500112,9633,5/9/2024,Debit Card,45321
500113,6383,7/6/2024,Debit Card,347016
500114,3959,3/7/2024,NetBanking,297928
500115,4546,2/24/2025,UPI,95035
500116,5734,7/19/2025,Wallet,141702
500117,7349,1/16/2024,Wallet,86151
500118,9159,7/24/2024,Cash on Delivery,271128
500119,1991,6/19/2023,Credit Card,45281
500120,7663,8/31/2023,NetBanking,16368
500121,3724,7/24/2023,UPI,111863
500122,8837,12/7/2024,Cash on Delivery,67331
500123,3162,12/12/2023,NetBanking,41139
500124,8077,6/13/2022,NetBanking,561891
500125,9041,12/10/2024,NetBanking,157263
500126,8542,7/2/2024,Credit Card,128518
500127,5725,2/24/2024,Cash on Delivery,28475
500128,3963,3/24/2025,UPI,528000
500129,5530,8/13/2024,UPI,33770
500130,4793,2/24/2024,Wallet,150044
500131,3049,12/20/2024,Wallet,183420
500132,5455,3/24/2024,NetBanking,414000
500133,522,3/26/2022,NetBanking,27716
500134,8541,5/9/2025,Wallet,122440
500135,7082,9/30/2023,UPI,56430
500136,7837,4/25/2025,Wallet,89276
500137,8940,3/26/2025,NetBanking,3173
500138,2247,11/25/2024,Cash on Delivery,60830
500139,3824,7/24/2022,UPI,564467
500140,1017,11/1/2023,Credit Card,256550
500141,5914,11/11/2023,Debit Card,66185
500142,2552,10/4/2024,Debit Card,23518
500143,9483,7/28/2025,Debit Card,20458
500144,7829,12/22/2023,Wallet,490662
500145,8096,6/26/2025,NetBanking,69272
500146,3401,4/24/2024,NetBanking,22162
