Product_ID,Category,Brand,Price
2204,Fashion,Heritage,4490
3828,Beauty & Personal Care,RootRise,10000
3326,Home & Kitchen,CoolBreeze,35000
4917,Sports & Outdoors,MotionMade,2070
4822,Sports & Outdoors,FlexForge,7960
3094,Home & Kitchen,HeatWave,12480
1862,Fashion,NorthBay,2260
4340,Sports & Outdoors,CorePlus,30000
1737,Electronics,ApexOne,150000
4849,Sports & Outdoors,StaminaX,13470
4224,Sports & Outdoors,CorePlus,5670
1478,Electronics,ElectraNova,74500
4416,Sports & Outdoors,TrailStar,25550
1857,Fashion,NorthBay,3380
3613,Beauty & Personal Care,DermaDawn,10000
2274,Fashion,Ivory&Co,4090
1149,Electronics,Zentrix,104830
2737,Home & Kitchen,Nest&Nook,12880
2459,Fashion,NorthBay,7310
1470,Electronics,Zentrix,54010
3843,Beauty & Personal Care,RootRise,3120
4459,Sports & Outdoors,StaminaX,30000
3070,Home & Kitchen,KitchenPro,4780
1577,Electronics,CoreLink,150000
4392,Sports & Outdoors,PeakPath,2790
3755,Beauty & Personal Care,VelvetMist,5820
1199,Electronics,TechSphere,109420
4045,Beauty & Personal Care,HydraHue,10000
4745,Sports & Outdoors,TrailStar,12070
3239,Home & Kitchen,Nest&Nook,17790
2798,Home & Kitchen,Nest&Nook,8020
2679,Home & Kitchen,HeatWave,8260
3631,Beauty & Personal Care,RootRise,2080
1672,Electronics,TechSphere,29650
4284,Sports & Outdoors,PulseGear,26080
1073,Electronics,BlueWave,150000
4645,Sports & Outdoors,MotionMade,2610
1085,Electronics,ElectraNova,44960
3130,Home & Kitchen,HomePulse,27840
1877,Fashion,CanvasCo,4430
3941,Beauty & Personal Care,PureLeaf,2510
4084,Beauty & Personal Care,VelvetMist,2960
4153,Beauty & Personal Care,VelvetMist,1350
4711,Sports & Outdoors,FlexForge,29850
1458,Electronics,TechSphere,71030
2721,Home & Kitchen,HeatWave,10480
3917,Beauty & Personal Care,GlowWell,1840
1472,Electronics,OrbitX,14150
1464,Electronics,TechSphere,91580
2345,Fashion,SilkStreet,5440
2722,Home & Kitchen,CoolBreeze,6910
3443,Beauty & Personal Care,VelvetMist,1030
4406,Sports & Outdoors,RunRidge,12530
1734,Electronics,OrbitX,150000
1572,Electronics,GigaMax,44100
3140,Home & Kitchen,HomePulse,29240
