Return_ID,Order_ID,Reason,Return_Date
900001,524292,Arrived Late,8/19/2024
900002,524295,Size/Fit Issue,1/1/2025
900003,516105,Size/Fit Issue,6/12/2023
900004,524300,Size/Fit Issue,4/21/2025
900005,524308,Arrived Late,3/16/2024
900006,507927,Wrong Item Delivered,1/15/2025
900007,524312,Damaged/Defective,8/3/2025
900008,507929,Changed Mind,6/17/2024
900009,524315,Wrong Item Delivered,3/15/2025
900010,516125,Wrong Item Delivered,8/8/2025
900011,524322,Wrong Item Delivered,1/20/2025
900012,524323,Quality Not As Expected,8/9/2025
900013,507939,Damaged/Defective,10/27/2024
900014,524325,Arrived Late,11/18/2024
900015,524328,Arrived Late,6/10/2025
900016,516137,Quality Not As Expected,7/15/2025
900017,524329,Quality Not As Expected,11/17/2024
900018,507960,Changed Mind,10/26/2024
900019,507969,Size/Fit Issue,9/16/2023
900020,507971,Arrived Late,3/16/2025
900021,516164,Size/Fit Issue,1/13/2025
900022,516166,Damaged/Defective,7/4/2023
900023,507980,Changed Mind,11/4/2024
900024,516173,Damaged/Defective,5/14/2024
900025,507982,Changed Mind,12/8/2023
900026,507983,Changed Mind,9/4/2024
900027,524368,Changed Mind,7/30/2023
900028,524371,Arrived Late,3/21/2024
900029,516182,Changed Mind,11/11/2024
900030,507992,Changed Mind,11/30/2024
900031,507996,Quality Not As Expected,5/11/2025
900032,524384,Size/Fit Issue,1/20/2024
900033,524393,Size/Fit Issue,5/12/2025
900034,508010,Damaged/Defective,2/9/2025
900035,524396,Quality Not As Expected,4/18/2025
900036,516207,Size/Fit Issue,8/21/2025
900037,524400,Wrong Item Delivered,3/14/2023
900038,516209,Damaged/Defective,12/16/2024
900039,508019,Wrong Item Delivered,2/18/2025
900040,516212,Arrived Late,2/24/2025
900041,508021,Arrived Late,10/13/2023
900042,516218,Changed Mind,4/29/2025
900043,524411,Quality Not As Expected,11/22/2024
900044,516221,Changed Mind,1/17/2025
900045,516226,Quality Not As Expected,12/3/2022
900046,508036,Wrong Item Delivered,11/6/2024
900047,508037,Changed Mind,7/4/2025
900048,508038,Wrong Item Delivered,2/8/2025
900049,516235,Changed Mind,11/17/2022
900050,516239,Damaged/Defective,7/6/2024
900051,524435,Damaged/Defective,8/11/2025
900052,516245,Damaged/Defective,6/20/2024
900053,524440,Damaged/Defective,11/4/2023
900054,516258,Damaged/Defective,4/15/2024
900055,524457,Damaged/Defective,12/15/2024
900056,524467,Changed Mind,9/29/2024
900057,508084,Arrived Late,10/5/2024
900058,516280,Changed Mind,8/20/2025
900059,524473,Arrived Late,9/25/2024
900060,516286,Damaged/Defective,7/21/2024
900061,516288,Quality Not As Expected,5/13/2025
900062,516289,Wrong Item Delivered,4/15/2025
900063,508108,Arrived Late,6/22/2023
900064,508109,Quality Not As Expected,5/31/2025
900065,516302,Wrong Item Delivered,9/22/2022
900066,508111,Damaged/Defective,10/10/2024
900067,508112,Damaged/Defective,3/23/2024
900068,516306,Quality Not As Expected,8/17/2023
900069,524501,Size/Fit Issue,11/21/2023
900070,516311,Size/Fit Issue,11/24/2023
900071,516312,Changed Mind,4/20/2024
900072,516313,Arrived Late,9/4/2023
900073,524509,Wrong Item Delivered,10/28/2023
900074,516320,Quality Not As Expected,8/17/2024
900075,524516,Changed Mind,4/22/2023
900076,508134,Quality Not As Expected,11/6/2024
900077,524521,Arrived Late,11/27/2024
900078,516331,Changed Mind,10/7/2024
900079,524524,Damaged/Defective,8/26/2025
900080,524529,Arrived Late,2/14/2024
900081,516340,Quality Not As Expected,5/26/2023
900082,508156,Wrong Item Delivered,8/21/2025
900083,516354,Quality Not As Expected,3/16/2025
900084,516355,Size/Fit Issue,11/26/2024
900085,524553,Changed Mind,6/1/2025
900086,524554,Damaged/Defective,10/31/2024
900087,516363,Changed Mind,8/8/2023
900088,508171,Size/Fit Issue,3/7/2024
900089,524558,Size/Fit Issue,2/25/2023
900090,508175,Size/Fit Issue,4/8/2025
900091,516368,Wrong Item Delivered,6/4/2024
900092,516367,Wrong Item Delivered,6/15/2022
900093,516371,Changed Mind,4/4/2023
900094,516374,Damaged/Defective,6/14/2025
900095,508184,Damaged/Defective,5/8/2025
900096,508186,Damaged/Defective,11/17/2024
900097,508193,Quality Not As Expected,4/3/2025
900098,508194,Wrong Item Delivered,1/23/2025
900099,516389,Quality Not As Expected,5/26/2022
900100,524582,Quality Not As Expected,5/19/2025
900101,500008,Arrived Late,6/11/2024
900102,516393,Size/Fit Issue,1/4/2025
900103,524586,Size/Fit Issue,9/22/2023
900104,516392,Damaged/Defective,1/26/2025
900105,508204,Arrived Late,7/2/2023
900106,500012,Arrived Late,1/13/2025
900107,516399,Changed Mind,6/10/2025
900108,516400,Arrived Late,8/11/2025
900109,500017,Quality Not As Expected,4/30/2023
900110,516402,Arrived Late,8/16/2023
900111,508207,Damaged/Defective,6/29/2024
900112,516405,Quality Not As Expected,3/20/2025
900113,524599,Size/Fit Issue,7/15/2022
900114,516408,Damaged/Defective,6/25/2023
900115,511325,Quality Not As Expected,5/1/2022
900116,516413,Changed Mind,1/11/2023
900117,524608,Damaged/Defective,7/31/2024
900118,516417,Damaged/Defective,8/28/2024
900119,508231,Wrong Item Delivered,1/16/2025
900120,524619,Size/Fit Issue,1/8/2024
900121,516428,Size/Fit Issue,7/28/2025
900122,524621,Quality Not As Expected,7/31/2024
900123,516429,Size/Fit Issue,11/27/2022
900124,508237,Damaged/Defective,4/26/2025
900125,500048,Changed Mind,3/18/2024
900126,524625,Damaged/Defective,2/17/2025
900127,524624,Size/Fit Issue,2/9/2025
900128,508244,Size/Fit Issue,7/15/2025
900129,508246,Changed Mind,8/26/2024
900130,524630,Quality Not As Expected,8/6/2023
900131,508249,Damaged/Defective,6/3/2025
900132,516442,Wrong Item Delivered,3/27/2024
900133,500059,Arrived Late,4/8/2025
900134,524637,Size/Fit Issue,3/8/2023
900135,524641,Quality Not As Expected,8/28/2024
900136,516449,Wrong Item Delivered,3/27/2025
900137,524643,Wrong Item Delivered,7/2/2023
900138,524645,Quality Not As Expected,4/20/2024
900139,516456,Wrong Item Delivered,8/13/2024
900140,516460,Wrong Item Delivered,9/12/2022
900141,516461,Size/Fit Issue,6/23/2025
900142,508271,Quality Not As Expected,11/25/2024
900143,500079,Wrong Item Delivered,1/9/2025
900144,508272,Quality Not As Expected,6/8/2025
900145,516466,Size/Fit Issue,8/9/2024
900146,516473,Damaged/Defective,10/10/2023
900147,516474,Changed Mind,1/6/2024
900148,500092,Wrong Item Delivered,4/23/2024
900149,500096,Size/Fit Issue,8/5/2025
900150,524674,Size/Fit Issue,6/10/2025
900151,508291,Arrived Late,6/29/2024
900152,508292,Damaged/Defective,1/26/2024
900153,516485,Quality Not As Expected,6/24/2024
900154,500109,Arrived Late,7/26/2025
900155,500112,Changed Mind,5/19/2024
900156,500117,Changed Mind,1/31/2024
900157,500121,Size/Fit Issue,8/9/2023
900158,516508,Wrong Item Delivered,1/23/2025
900159,508317,Wrong Item Delivered,8/19/2024
900160,508316,Quality Not As Expected,9/5/2024
900161,508319,Changed Mind,7/24/2025
900162,524704,Changed Mind,8/5/2022
900163,524700,Wrong Item Delivered,9/2/2025
900164,524706,Wrong Item Delivered,3/29/2025
900165,524707,Arrived Late,2/12/2023
900166,508326,Damaged/Defective,11/6/2024
900167,524711,Arrived Late,12/21/2023
900168,500135,Damaged/Defective,10/17/2023
900169,500137,Wrong Item Delivered,4/11/2025
900170,508330,Damaged/Defective,7/5/2025
900171,524710,Size/Fit Issue,8/24/2024
900172,500141,Quality Not As Expected,12/5/2023
900173,516531,Wrong Item Delivered,3/19/2025
900174,524726,Wrong Item Delivered,4/5/2025
900175,508343,Quality Not As Expected,1/18/2025
900176,500150,Quality Not As Expected,6/14/2025
900177,516535,Damaged/Defective,5/1/2025
900178,500156,Size/Fit Issue,10/11/2022
900179,508354,Size/Fit Issue,3/21/2023
900180,508356,Changed Mind,7/20/2024
900181,516551,Size/Fit Issue,4/18/2025
900182,508360,Changed Mind,1/10/2025
900183,524743,Damaged/Defective,10/28/2024
900184,524747,Size/Fit Issue,4/30/2024
900185,500171,Arrived Late,12/28/2024
900186,516557,Changed Mind,7/1/2024
900187,508368,Size/Fit Issue,3/26/2023
900188,516564,Size/Fit Issue,9/12/2024
900189,524756,Size/Fit Issue,1/1/2025
900190,516566,Size/Fit Issue,6/12/2024
900191,508372,Wrong Item Delivered,3/13/2024
900192,524761,Quality Not As Expected,9/1/2024
900193,516570,Damaged/Defective,9/3/2023
900194,516569,Changed Mind,4/5/2024
900195,500193,Damaged/Defective,8/30/2023
900196,516578,Arrived Late,1/24/2023
900197,500195,Quality Not As Expected,5/28/2025
900198,508389,Arrived Late,6/23/2025
900199,508390,Damaged/Defective,4/22/2023
900200,524776,Quality Not As Expected,5/12/2025
900201,508396,Quality Not As Expected,8/29/2024
900202,524781,Damaged/Defective,7/6/2024
900203,500206,Changed Mind,9/15/2024
900204,508399,Wrong Item Delivered,1/15/2025
900205,508401,Changed Mind,10/22/2024
900206,516593,Changed Mind,5/15/2023
900207,524789,Damaged/Defective,8/9/2025
900208,500214,Size/Fit Issue,6/18/2024
900209,516598,Damaged/Defective,3/3/2024
900210,524791,Changed Mind,8/26/2023
900211,500218,Damaged/Defective,1/6/2024
900212,516604,Wrong Item Delivered,7/19/2023
900213,516606,Wrong Item Delivered,12/24/2024
900214,508414,Wrong Item Delivered,4/22/2024
900215,508417,Wrong Item Delivered,2/1/2025
900216,500226,Quality Not As Expected,3/31/2024
900217,508418,Damaged/Defective,6/21/2024
900218,524801,Damaged/Defective,8/11/2025
900219,516613,Changed Mind,1/6/2025
900220,500227,Wrong Item Delivered,9/21/2024
900221,508423,Wrong Item Delivered,6/21/2024
900222,524805,Changed Mind,1/19/2024
900223,524803,Changed Mind,4/23/2024
900224,524810,Size/Fit Issue,7/15/2025
900225,500236,Changed Mind,11/11/2024
900226,524813,Wrong Item Delivered,12/16/2024
900227,516622,Damaged/Defective,10/24/2022
900228,524815,Damaged/Defective,7/28/2025
900229,500238,Size/Fit Issue,5/2/2023
900230,516624,Quality Not As Expected,8/15/2024
900231,516625,Changed Mind,9/6/2024
900232,508432,Size/Fit Issue,6/9/2025
900233,524812,Changed Mind,4/28/2024
900234,500247,Size/Fit Issue,8/17/2025
900235,508442,Quality Not As Expected,2/7/2024
900236,516635,Changed Mind,11/18/2024
900237,500251,Arrived Late,1/27/2025
900238,500252,Changed Mind,8/18/2024
900239,516638,Changed Mind,9/28/2023
900240,524826,Damaged/Defective,3/25/2025
900241,524832,Arrived Late,4/30/2022
900242,508450,Wrong Item Delivered,12/11/2023
900243,508453,Size/Fit Issue,4/24/2024
900244,500261,Damaged/Defective,4/17/2025
900245,500263,Wrong Item Delivered,6/28/2023
900246,508461,Quality Not As Expected,10/30/2024
900247,524846,Arrived Late,3/20/2023
900248,516653,Changed Mind,5/3/2024
900249,524848,Wrong Item Delivered,7/23/2022
900250,516655,Damaged/Defective,11/10/2024
900251,508466,Wrong Item Delivered,6/23/2025
900252,524851,Quality Not As Expected,1/2/2025
900253,516660,Changed Mind,1/24/2024
900254,516661,Quality Not As Expected,8/18/2024
900255,500279,Damaged/Defective,7/22/2022
900256,524856,Quality Not As Expected,6/16/2024
900257,500281,Quality Not As Expected,9/26/2024
900258,508474,Quality Not As Expected,5/2/2025
900259,508476,Arrived Late,4/21/2024
900260,500285,Wrong Item Delivered,5/31/2022
900261,524868,Wrong Item Delivered,9/9/2024
900262,500294,Size/Fit Issue,4/5/2025
900263,508492,Quality Not As Expected,10/25/2024
900264,524876,Arrived Late,8/4/2025
900265,508499,Quality Not As Expected,4/16/2025
900266,524885,Size/Fit Issue,10/21/2024
900267,500311,Changed Mind,9/24/2024
900268,519523,Damaged/Defective,1/27/2025
900269,500316,Arrived Late,6/26/2024
900270,524895,Arrived Late,11/17/2024
900271,508513,Wrong Item Delivered,9/7/2024
900272,500323,Changed Mind,7/8/2025
900273,516707,Changed Mind,8/10/2025
900274,516711,Wrong Item Delivered,3/14/2024
900275,524904,Wrong Item Delivered,8/8/2023
900276,524905,Arrived Late,3/6/2025
900277,508519,Quality Not As Expected,11/14/2023
900278,500332,Wrong Item Delivered,7/30/2024
900279,516717,Arrived Late,2/20/2023
900280,524909,Quality Not As Expected,5/3/2025
